date, action, price, shares, pnl 
2021-04-28,BUY,87.44,1157,0
2021-10-12,SELL,85.68,1157,-2036.32
2021-12-31,BUY,85.73,1156,0
2022-01-24,SELL,89.97,1156,4901.44
2022-02-14,BUY,87.33,1191,0
2022-07-05,SELL,82.41,1191,-5859.72
2022-07-27,BUY,80.26,1223,0
2022-09-12,SELL,83.79,1223,4317.19
2023-02-20,BUY,99.16,1033,0
2023-05-24,SELL,92.6,1033,-6776.48
2023-07-12,BUY,92.34,1036,0
2024-02-07,SELL,79.55,1036,-13250.4
2024-04-01,BUY,83.97,982,0
2024-07-26,SELL,87.05,982,3024.56
2024-09-03,BUY,83.39,1025,0
2024-12-13,SELL,75.22,1025,-8374.25
2025-02-11,BUY,78.55,981,0
2025-07-24,SELL,69.48,981,-8897.67
2025-09-01,BUY,69.46,982,0
2025-10-15,SELL,65.5,982,-3888.72
2025-12-23,BUY,65.15,987,0
2026-02-09,SELL,65.76,987,602.07
2026-05-19,BUY,65.93,985,0
2026-06-09,SELL,68.4,985,2432.95
2026-09-02,BUY,70.32,958,0
2026-10-07,SELL,73.86,958,3391.32
2026-12-21,BUY,73.96,956,0
2027-01-18,SELL,77.3,956,3193.04
2027-04-16,BUY,75.47,980,0
2027-05-12,SELL,75.96,980,480.2
2027-09-21,BUY,75.37,987,0
2028-01-25,SELL,74.04,987,-1312.71
2028-02-07,BUY,70.88,1031,0
2028-05-09,SELL,75.9,1031,5175.62
2028-09-06,BUY,77.52,1010,0
2029-01-03,SELL,76.37,1010,-1161.5
2029-02-02,BUY,73.85,1044,0
2029-03-26,SELL,72.6,1044,-1305
2029-05-02,BUY,70.18,1080,0
2029-07-16,SELL,71.63,1080,1566
2029-09-12,BUY,70,1105,0
2029-11-29,SELL,66,1105,-4420
2029-12-21,BUY,63.53,1148,0
2030-01-23,SELL,65.25,1148,1974.56
2030-04-03,BUY,61.1,1226,0
2030-04-25,SELL,64.43,1226,4082.58
2030-05-13,BUY,59.79,1322,0
2030-05-31,SELL,61.88,1322,2762.98
2031-03-12,BUY,76.77,1065,0
2031-04-14,SELL,77.23,1065,489.9
2031-05-30,BUY,73.22,1124,0
2031-07-07,SELL,75.17,1124,2191.8
2031-07-23,BUY,71.13,1187,0
2031-12-17,SELL,65.3,1187,-6920.21
2032-01-01,BUY,62.9,1233,0
2032-02-04,SELL,62.31,1233,-727.47
2032-02-24,BUY,60.58,1268,0
2032-07-05,SELL,57.31,1268,-4146.36
2032-10-20,BUY,56.19,1293,0
2032-11-19,SELL,58.22,1293,2624.79
2032-12-08,BUY,57,1321,0
2033-01-04,SELL,57.86,1321,1136.06
2033-01-18,BUY,55.28,1383,0
2033-02-25,SELL,54.96,1383,-442.56
2033-03-18,BUY,53.76,1414,0
2033-06-03,SELL,55.16,1414,1979.6
2033-08-12,BUY,57.31,1360,0
2033-08-29,SELL,61.05,1360,5086.4
2033-11-02,BUY,59.28,1401,0
2033-11-21,SELL,61.34,1401,2886.06
2034-04-25,BUY,66.03,1301,0
2034-05-23,SELL,69.42,1301,4410.39
2034-10-06,BUY,72.04,1254,0
2034-11-15,SELL,75.6,1254,4464.24
2035-10-05,BUY,88.77,1068,0
2035-12-26,SELL,89.59,1068,875.76
2036-02-19,BUY,90.46,1058,0
2036-09-09,SELL,83.11,1058,-7776.3
2036-12-08,BUY,80.07,1098,0
2037-02-12,SELL,77.08,1098,-3283.02
2037-07-09,BUY,88.39,957,0
2037-08-19,SELL,91.16,957,2650.89
2037-09-09,BUY,87.93,992,0
2037-10-26,SELL,89.1,992,1160.64
2038-01-22,BUY,85.81,1031,0
2038-03-30,SELL,80.38,1031,-5598.33
2038-06-21,BUY,83.71,990,0
2038-09-21,SELL,81.91,990,-1782
2038-10-28,BUY,79.19,1024,0
2038-11-11,SELL,81.64,1024,2508.8
2038-12-07,BUY,78.98,1058,0
2039-01-14,SELL,80.66,1058,1777.44
2039-03-04,BUY,77.54,1101,0
2039-04-21,SELL,78.92,1101,1519.38
2039-06-14,BUY,77.27,1124,0
2039-07-11,SELL,76.5,1124,-865.48
2039-10-05,BUY,72.94,1179,0
2039-11-21,SELL,74.67,1179,2039.67
2040-02-17,BUY,74.66,1179,0
2040-05-01,SELL,70.54,1179,-4857.48
2040-06-19,BUY,72.81,1142,0
2040-07-13,SELL,74.42,1142,1838.62
2040-08-23,BUY,73.97,1149,0
2041-02-22,SELL,63.96,1149,-11501.5
2041-04-12,BUY,66.85,1100,0
2041-05-28,SELL,67.76,1100,1001
2041-06-17,BUY,65.7,1134,0
2041-09-11,SELL,66.87,1134,1326.78
2042-01-09,BUY,65.57,1157,0
2042-03-04,SELL,67.86,1157,2649.53
2042-05-29,BUY,66.93,1173,0
2042-07-25,SELL,68.47,1173,1806.42
2042-08-15,BUY,66.24,1212,0
2042-09-08,SELL,67.74,1212,1818
2042-11-05,BUY,67.91,1209,0
2042-12-05,SELL,69.72,1209,2188.29
2043-01-14,BUY,69,1222,0
2043-02-10,SELL,72.99,1222,4875.78
2043-04-20,BUY,73.09,1220,0
2043-08-17,SELL,74.64,1220,1891
2043-11-19,BUY,77.27,1179,0
2044-01-08,SELL,80.3,1179,3572.37
2044-02-09,BUY,77.33,1224,0
2044-03-08,SELL,78.22,1224,1089.36
2044-07-14,BUY,78.97,1212,0
2044-08-03,SELL,82.67,1212,4484.4
2044-08-26,BUY,80.67,1242,0
2044-11-08,SELL,81.96,1242,1602.18
2044-11-24,BUY,77.64,1311,0
2045-02-24,SELL,74.82,1311,-3697.02
2045-04-07,BUY,76.51,1282,0
2045-07-13,SELL,69.6,1282,-8858.62
2045-08-17,BUY,66.75,1337,0
2045-09-07,SELL,69.58,1337,3783.71
2045-10-17,BUY,68.05,1367,0
2046-01-03,SELL,68.31,1367,355.42
2046-01-29,BUY,65.25,1432,0
2046-03-16,SELL,69.67,1432,6329.44
2046-07-19,BUY,76.69,1300,0
2046-11-21,SELL,73.04,1300,-4745
2046-12-25,BUY,68.81,1380,0
2047-01-15,SELL,70.91,1380,2898
2047-03-01,BUY,68,1440,0
2047-07-29,SELL,64.28,1440,-5356.8
2047-09-04,BUY,62.48,1481,0
2047-10-21,SELL,65.28,1481,4146.8
2047-11-07,BUY,62.95,1536,0
2048-04-15,SELL,62.12,1536,-1274.88
