date, action, price, shares, pnl 
2044-08-10,BUY,83.26,1376,0
2044-09-12,SELL,79.17,1376,-5627.84
2044-11-15,BUY,80.92,1346,0
2044-12-13,SELL,74.1,1346,-9179.72
2045-02-15,BUY,73.4,1359,0
2045-04-20,SELL,75.01,1359,2187.99
2045-07-31,BUY,68.68,1484,0
2045-08-25,SELL,66.77,1484,-2834.44
2045-09-20,BUY,71.91,1378,0
2045-10-24,SELL,68.1,1378,-5250.18
2046-01-12,BUY,69.7,1346,0
2046-02-14,SELL,67.45,1346,-3028.5
2046-03-21,BUY,69.76,1302,0
2046-08-03,SELL,77.57,1302,10168.6
2047-02-21,BUY,69.63,1450,0
2047-03-06,SELL,66.92,1450,-3929.5
2047-08-06,BUY,64.09,1514,0
2047-09-19,SELL,64.02,1514,-105.98
2047-10-02,BUY,63.74,1521,0
2047-10-14,SELL,63.4,1521,-517.14
2047-10-18,BUY,65.79,1466,0
2047-11-19,SELL,63.29,1466,-3665
2048-02-03,BUY,62.99,1473,0
2048-03-09,SELL,61.87,1473,-1649.76
2048-04-23,BUY,63.63,1432,0
2048-04-30,SELL,65.25,1432,2319.84
